InputStoryid	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding	context	nsp_pred	ppl_pred
2e12212c-ed3c-45e8-bccd-ee874d63b50b	Jean dropped a letter in the mailbox.	Soon, Jean had two pet anoles.	2	Jean was delighted to receive a pet anole for her birthday. This was the first pet her mother had ever let her have. The next day, there was a white egg in the cage! Jean waited with anticipation, hoping the egg would hatch.	2	2
4c70ef85-39c9-40b5-b8c2-ed583a4fec32	Petey was so disappointed that the game was gone.	Petey was very happy that the game was gone.	1	Petey held the high score in the pizza parlor's arcade cabinet. It was a campaign fighting game from the 80s. One day Petey went in and the machine was gone. The staff informed him that it had broken down.	2	2
462f4732-5321-4ed5-ad67-2f7bb3668062	Tom dropped to a knee and asked Peyton to marry him.	Tom was a bad sport and punched Peyton in the face.	2	Peyton and Tom played football often. Tom always won for many Year's. Peyton never gave up and kept practicing. Peyton finally beat Tom at a game of football.	2	1
723bb352-5879-4290-8042-3b26234616cc	Pam's friends won't talk to her anymore.	Josh revealed he was in love with Pam too.	2	Pam was in love with Josh but she didn't know how to get his attention. She talked to her friends, and she talked to her parents. They all offered advice that didn't quite work for her. Finally, she just went up to him and told him her feelings.	2	1
278491fa-b371-4584-a0ed-efd4828152bd	All got a strike and was very happy.	All was sad at the possibility of getting a strike.	1	All was not a good bowler. She was lucky if her balls stayed out of the gutter. On her last frame of the day she rolled the ball. It went straight down the center.	2	2
042bce3b-4390-4d30-9971-eb7a4698b081	Roberto was disappointed.	Roberto liked to train others how to box.	2	Roberto knew that one day he wanted to be a boxer. Coaches told him he was too old to become a boxer. However, Roberto trained very hard to become a great boxer. Eventually he opened his own boxing gym.	2	2
bd5285ad-4f22-416e-8a98-65465aa28894	Eric then left work to go settle down.	Eric then worked harder than ever and got promoted.	1	Eric had worked at a large law firm for 30 years. On his 68th birthday he had decided it was time to retire. His friends threw him a large party. They gave him many gifts and they shared old stories.	2	2
deb144db-8fc2-4831-9f81-ffbf2ce4672a	She was mad when I showed it to her.	She was happy.	1	I brought home a stray cat to my girlfriend. She always told me she loved cats. I thought I was about to get a ton of boyfriend points. I must have miss a key detail in her cat story.	1	1
89414e2e-95c2-4d6f-a2b5-19cee41fb2aa	Jane decided not to go swimming anymore.	After that, she decided to carry mace with her when jogging.	2	Jane always jogged through the same neighborhood. One day there was a big scary dog, but it was being led on a leash. The dog got away and lunged at Jane, leash trailing behind. Jane needed stitches on her arm from the bite.	1	2
52951275-b083-4699-96aa-b9b51a1dcdbf	Susie was angry at the goat.	Susie loved the goat very much.	2	Susie got a baby goat at the fair. She brought it home. Her mom said she had to keep it outside. Susie was worried about the goat.	2	1
c7c0e303-15b4-4512-b4d6-c1562789ef1d	She found a wonderful home right by her job.	Deb wanted to meet new people.	1	Deb always dreamed of getting married and buying a large house. After she met the love of her life she was ready to start a family. Deb knew that the first step was to buy a home. She quickly started to search for the perfect home.	2	2
d111bb32-6d86-4808-a89b-0f062ed376a8	Both of them did not do well on the test.	Unfortunately, it was the girl who scored well.	2	There were two students named Alex in the math class. One was a boy but the other was a girl. One day the teacher announced that Alex had achieved a perfect test. The boy named Alex assumed he was the one who had scored perfectly.	2	1
ec172df0-31b5-4d9e-8d7b-3d1f42b112e5	They gave Tom a new latte with less ice.	They gave Tom a new latte with more ice.	1	Tom wanted an iced latte. So he went to a coffee shop and ordered one. But over half of it was ice. Tom complained.	2	2
14467307-8fc5-417c-bae2-200254c88409	Andrew's boss gave him a raise for his excellent performance.	Andrew said that he was going to have to find a new career.	2	Andrew saw this day coming. He had to quit his job. He hasn't made a sale in two weeks. His boss asked him what was he going to do?	1	2
da76e433-6bf9-41c9-851b-6309e93e408b	The cat jumped in the opposite direction.	The cat caught a mouse.	2	The black cat saw a small object moving in the grass. The object was fluttering and darting erratically. The cat crouched down and carefully stalked its prey. Suddenly, he pounced!	1	1
e1964379-b060-4ac9-8328-aa5bacb173a0	I decided to drink some margaritas that night.	I called my friend who loves basketball and asked him for help.	2	I played in a fantasy basketball league this season. I've played fantasy football but never fantasy basketball before. I don't like it as much as football because there are too many games. The season is longer and it's basically down to pure luck to win.	2	2
23ce0223-a3e0-4f08-a638-7b5869e258f9	I was lucky to make it to the hospital.	I prefer to take an ambulances.	1	Last week I had a small heart attack. They called an ambulance to take me to the hospital. I refused and asked someone to drive instead. I didn't want to pay for all that.	2	1
8a28ed52-b6da-4e0e-b87e-c46671dddba2	Kyrie yelped and ran away from her cat.	Kyrie and the mouse then played.	1	Kyrie saw a mouse in her house. She screamed, because she is afraid of mice. Her cat came and killed the mouse. Then, the cat tried to give it to Kyrie.	1	1
7d5bf594-14df-496b-8e54-3c36b31420d9	Billy exchanged several of his coins for the baseball.	Billy told the boy the baseball was stupid.	1	10-year-old Billy's uncle sent him a collectible coin every birthday. Billy showed off the collection to some boys from school. One of the boys told Billy he had a baseball for sale. Billy really wanted the baseball.	1	1
c7944b19-ba00-4fa4-9ebf-af7f044c0e5c	Kim loved her body shape.	Kim had body image issues.	2	Kim's friends invited her to the beach. But she was too embarrassed to to wear a bathing suit. Kim looked at herself in the mirror and cried. Kim went to the beach but decided not to go swimming.	2	2
08b2f43a-9110-4db9-9445-ac5ac57343cb	Lucy was so disappointed.	Lucy was ecstatic!	2	Lucy was nervous during her first job interview. She answered all of the questions accurately. Lucy waited for three days after the interview to contact the company. The company notified her that the job was hers.	1	1
a4fec03f-9145-4d04-a93a-72ec32d3e46a	Jill ran for president.	Sitting on her bed was a small, grey kitten.	2	"For months, Jill was asking her parents if they could adopt a cat. Her mom and dad would always say, maybe some day. Then, for her birthday, Jill asked them again, can we get a cat? Her mom and dad responded, ""go check in your room."""	1	2
9681b901-a110-45cb-bedb-f5de4f3673cf	Ben was devastated.	Ben decided to become a commercial driver.	1	Ben went to the DMV to get his License. The instructor gave Ben a passing grade at the end. Excited, Ben calls up his father to tell him the good news. Ben father never picked up, he died in a car accident that day.	2	2
8dd0b94a-a7d5-4357-a266-ba0e926cdf4b	Kim vowed to never return to Paris.	Kimmy was very excited.	2	Kimmy was on a trip to Paris. Her plane had just landed and she and her classmates her excited. They couldn't wait to start seeing museums and churches! They spent lots of time shopping and seeing historical sites.	2	2
848f40ae-f425-4998-ae86-ddc0f41d764a	Colin made lots of friends.	All the kids at Colin's school hated him.	1	Colin started fifth grade at a new school. He was very shy. He thought no one would befriend him due to his shyness. But Colin's classmates were encouraging and kind.	2	2
75768124-6fef-47e1-9db9-c930f00ed3c7	I'm sure I'll figure out a place for it eventually.	The picture has a very nice frame, in my opinion.	1	My friend got me a planter as a housewarming gift. It's small and cute and fits in nicely with my decor. But I'm still not sure where to put it. I hope he doesn't get sad.	1	1
9fb34bc0-6e5b-4937-9ae9-ec2e00cd25e0	We are happy about having a child.	We are sad about having a child.	1	My wife is expecting our first child. She is glowing and I love her more everyday. She loves to post pictures of her belly on Facebook. She gets so many likes and positive comments.	1	1
859d7085-b262-4142-815d-b46a10e930bb	Bob contemplated how unfriendly the world was.	Bob believed that there were good people in the world.	2	Bob went to the gas station to fill up his car. His tank was completely empty and so was his wallet. The cashier offered to pay for his gas if he came back later to pay. Bob felt grateful as he drove home.	2	2
8a08d003-5758-43c6-b3d2-2b7f3e2634df	When they exited the cafe, Casey confronted Tom.	Casey congratulated Tom and Susan when they came out.	1	Tom and Casey have been married for twenty years. Tom had an affair with Susan. Casey caught Tom and Susan on a dinner date. Casey camped outside in front of the cafe.	2	1
249bca8a-7ba2-4a3b-b37d-93727811e0cd	I decided to head to Starbucks instead.	I never drank coffee.	1	This morning I was running late for work. I decided to get a coffee at the gas station. They only had decaf left. I was really upset while pumping gas.	2	1
dbe37a14-f13e-4226-93a0-1f18a5ed50a3	Sarah then happily watched the show.	Sarah could not find anything to watch.	1	Sarah was home alone. She wanted to stay busy. She turned on the TV. She found a reality show to watch.	2	2
f78fb292-b127-492f-86cb-ec34e74e25e1	Benny's team won the title.	Benny decided to quit running.	1	Benny was a track star at his school who suffered an injury. This injury put him out of commission for three weeks. He wasn't sure of he could make the comeback he needed to go to state. He put in the work every day and came back ahead of schedule.	2	1
36edc618-da45-4573-812b-5c89b0f161cd	Danny never ate peas again.	Danny asked for more peas.	1	Danny never liked to eat peas. He told his mom that the peas were too slimy. One day his mom made him eat the peas on his plate. Danny hated every minute of it.	2	1
2b141969-16e3-471b-a39b-3f8d95e3dfd9	I was so happy when I made it back to my house.	I could not find my way back from the post office.	1	I went to the post office yesterday. It took a while to get there since it's on the other side of town. Once I got there I mailed my letters and headed home. It's always easier to get home than to get somewhere.	2	1
182548b0-a968-419a-9f70-8dc4a0c9f9a5	The teacher eventually stopped putting her pencil cup out.	The teacher rewarded everyone with candy.	1	A Kindergarten teacher refilled her pencil cup every morning. By lunch, the cup was always nearly empty. She repeatedly asked her students not to take the pencils home. No matter how much she pleaded, the students put them in their bags.	1	1
113d8720-4f7a-46b5-9c1e-c3676496a610	Tom decided to buy more racing games to enjoy the wheel with.	Tom broke the wheel because he didn't like racing games.	1	Tom wanted to enjoy his racing games more. So he bought a racing wheel for his computer. After some struggling, he successfully set it up. And he had lots of fun using it.	1	1
009c79f2-f612-483a-9199-d6d9ca361525	Kevin and his girlfriend liked doing things together.	Kevin and his girlfriend never got along.	1	Kevin decided to take his girlfriend ice skating. The two of them had so much fun at the rink. They held hands and skated around. One time they fell but got back up.	2	1
cb7989d9-784c-4d5d-86d8-efb318998212	My cousins started drinking more water.	My cousins sued the water company.	2	My cousins kept getting sick. The doctors couldn't figure out why. Eventually they started testing their water. It turned out to be contaminated.	2	1
4942c71b-dcc5-46f6-b59f-84d778a84e40	She saved enough money to buy a cell phone on her own.	Kim saved up enough money to buy a used car.	1	Kimmi really wanted a new cell phone. She asked her father if he could buy one for her. He said no. She decided that she would work to get it for herself.	1	1
d960b283-4e42-4349-9bc6-17149e98289e	Gina got her pilot's license the next day.	Gina changed her mind after the bully walked by and hit her.	2	Gina and Tami stood in the hallway talking. Gina had been tripped by a bully at recess. Tami wanted her to tell a teacher. Gina wasn't sure if this was the way to handle a bully.	2	2
1933a286-a8bf-42f1-be87-f1054c5f0f70	Jake bought 15 shirts.	He bought 10 pairs of pants.	1	Jake needed a bunch of shirts. He went to the store but everything was too expensive. He decided to go to the flea market. They sold shirts five for ten dollars.	1	2
2edc5f04-1636-4c2c-843c-10365f60ddd4	My brother freaked out.	My brother kept it that way.	1	My brother was trying to connect his glasses together. He placed some super glue over the broken spot. However, his finger got caught in the glue. It started to become hard.	2	1
e476fa34-33bb-40f5-a6c7-cb8ff8ec1aba	Don went to eat chicken wings.	Don had a great time skating for the first time.	2	Don wanted some excitement one day. He had never skated before, so he wanted to try that. Don found a local skating rink in town. Don drove to the skating rink with his new skates.	2	2
2f082b42-7108-4f42-abf1-7a8632ffbb98	Brian's girlfriend left him.	Brian and his girlfriend had sex after they got home.	2	Bryan took his girlfriend to the movies. They went to a comedy. He bought popcorn and drinks. They laughed a lot.	1	2
2e9d8d5b-40ed-4052-bf72-d07cd3d31b3e	Lizzie left all of her belongings to one child in her will.	Lizzie's children had to negotiate their mother's belongings.	2	Lizzie was in her 90's and the mother of eight adult children. One night Lizzie fell and broke many bones including her neck. She never recovered and passed away a week later in the hospital. Lizzie left no will as she had expected to live much longer.	2	1
7f0992fd-0b4b-48f4-8990-a328b9a1a5f7	Bob worked hard and reopened his business.	Bob's business succeeded.	1	Bob decided to start a business. He opened up a grocery store and was doing very well. After a year, his profits dropped and he had to declare bankruptcy. Bob was sad to see his business fail.	2	1
44ac815d-f034-404c-b524-1728abe2aebe	The coach asked Mike to put on a ballet costume.	The coach told him he'd made the team.	2	Mike liked basketball. He would always play it everyday during and after school. When the tryouts came he was ready. The coach watched him play and dribble.	1	2
744cc602-3e57-4a9e-8b4c-97f72793b3c3	He loved the clean, fresh air.	The shark in the boat swung his head around and bit his leg.	1	Neil was touring the Greek islands. He had rented a small motorboat. He traveled from island to island. Neil was having a wonderful time.	2	1
5e712713-1fce-40c5-989c-34bf426e622a	All the girls quiet book club.	They have fun gossiping.	2	All the girls get together for book club. They read a new book each month. Then meet to discuss it. After twenty minutes it turns into gossip.	1	2
9670dfd2-eacc-45b1-b87d-bab0813fe547	She won the game by guessing correctly.	She called the police to report the suspected crime.	1	Amy was playing Clue with her friends. She listened to the evidence. Then she reviewed her suspects. Amy decided on her suspect.	2	2
551587c8-85b4-4413-b49b-84ac3a631777	The rich man was hated.	Everyone offered to buy the rich man dinner.	1	The rich man went to the auction. No one dared to out bid him because they knew they would lose. The rich man bought everything that was up for auction. All the other people got mad that they couldn't win anything.	1	1
cb3b7985-513f-4eb3-9026-9ae8b7b58976	Opal asked her aunt to make her some stew.	Opal's stew was better than her aunt's.	1	Opal asked her aunt for her famous beef stew recipe. Her aunt reluctantly copied down the recipe. Opal took it home and tried to replicate the stew. It didn't taste as good as her aunt's masterpiece.	2	2
d1ba101d-1f33-4d22-9c98-916ec815ec6c	She ate them both right away!	Linda did not like bananas.	1	Linda passed by a bakery she never saw before. And she decided to go inside. She loved muffins. So she ordered a chocolate one and a banana one.	2	2
b6307880-70ab-423e-af68-a26b1461d7c1	Nelly wanted nice weather.	Nelly had been looking forward to rain.	1	Nelly's family was going on a vacation. Nelly was very excited because she had never been out of the country. When they arrived it was raining. Nelly was disappointed.	2	2
b8f28589-b42d-45e3-972e-069060a80737	When it was finished, we enjoyed the delicious peach ice cream.	We threw the ice cream out after it was finished.	1	As a child, we had a peach tree in our backyard. One day, my father told me we would make ice cream with the peaches. We took the peaches and added them to sugar and milk. We took those ingredients and churned them into ice cream.	1	1
4bc08145-5637-47ab-b05c-f8afbfca269e	The doctor greeted him calmly and he felt better.	Ben was having so much fun there.	1	Ben had a doctor's appointment. He was very scared. He never went to the doctor. He slowly stepped into the office.	1	1
f96ab42c-c6bf-4ead-b7da-6111cad2352f	Dan did not like the idea of the dance.	Dan went to the dance and had a lot of fun.	2	Dan was excited to attend the school dance. The school dance was going to be the highlight of Dan's senior year. Dan would get to show off his dancing skills at the dance. In addition, Dan would get to spend time with his friends at the dance.	2	2
f1662972-ab99-4ce3-83d4-bfe2acf724c9	Jill ate it and it kept her going until lunch.	Jill stopped talking to Lou.	1	Jill was in such a rush to catch the bus that she missed breakfast. In her first class of the day, her stomach kept growling. She wasn't sure she could make it until lunch. Between classes her friend Lou handed her a granola bar.	1	1
3b1027c5-b9f8-4aca-b741-5288076d0a5a	Ed was shocked called the police for an investigation.	Ed was delighted to see this.	1	Ed made beef jerky for a living. He ran the business out of his garage. One day he woke up and noticed his garage jarred open. He looked inside and noticed everything in disarray.	1	1
7ed233c8-a6d3-42ef-9d10-bc4b279f3016	John's dog was scolded severely.	John's dog fell asleep.	1	John was going to the park with his dog. On his way there, his dog saw a squirrel. When John's dog jerked on his leash, John accidentally released him. John's dog went and chased after the squirrel for five whole minutes!	2	2
2a68c0f7-e86e-47a1-89bc-78ec8a3dde8e	Sam was happy with the dentist he chose.	Sam's dentist removed all his teeth and made him dentures.	1	Sam has a toothache. He makes a dentist appointment. Sam is very nervous. Sam's dentist is very nice and gentle.	2	2
abfa88a3-e73c-469d-843b-ca6917206b18	Tom's dad was not helpful ever.	Tom's dad was always there for Tom.	2	Tom rolled his wagon. The wheels then fell off! Tom started crying! Tom's dad fixed the wheels.	2	2
9f418885-4f93-4c26-aa37-446a07f6a260	She woke up her roommate.	Jill danced with excitement.	1	Jill was hungry. But it was 2 AM. She tried to prepare food quietly. But she caused a lot of noise with pots and pans.	2	1
2424878e-7198-4758-847b-a3ee0f915209	Paulo hates his candles.	Paulo likes his candles.	2	Paulo loves the way that candles make him feel comfortable. He decided to buy some nice candles for his apartment. Now Paulo lights candles after a stressful day at work. It helps him overcome feelings of anxiety.	2	2
b3f8a440-58a2-4440-9b2d-759a78e64000	Clint shot wildly as they burst through the door.	Clint opened the door and invited them in for drinks.	1	Clint grabbed his gun and dived behind the couch. He winced as the pounding knock came again. He just knew it they'd found him! Another loud knock and Clint cocked his gun.	1	2
8519b75d-3df6-46de-ba49-0c7624581ee1	A new spot had opened up and Kayla could be in the show.	Kayla became obsessed with giraffes and got a job at the zoo.	1	Kayla tried out for American Idol. The judges told her she wasn't quite what they were looking for. Kayla was really bummed but moved on with her life. Weeks later American Idol called her.	2	2
3621fbb3-62a5-4602-bb0d-35e7ae6fbc22	Ralph is glad he looks cleaner.	Ralph combed his long beard.	1	Ralph's beard has become messy and long. He decides that he needs to trim it. He carefully cuts his beard until it is neat and trim. Now Ralph looks much less disheveled.	1	2
c6e09baa-51dc-454c-a77c-8ebe7c2c63a7	They loved Tiny.	Simon's parents were mad at Tiny.	2	Simon had a kitten called Tiny. Tiny was mischievous and often pushed things off of furniture. Once Tiny pushed a glass of the table. Simon's parents walked in and saw the smashed glass on the floor.	2	2
1774924c-a8ee-4931-a80f-3f79bee6f324	David rode his bike every day.	David ran away from home.	1	David's parents got him a bike. He didn't want one. But he didn't want his gift to go to waste. After learning how to ride the bike, he was glad he had one.	1	1
06d5e337-e032-4a10-8d2d-2c9fe301562c	While there I had my toe amputated.	I left with a new crown.	2	One day, I was eating a burrito when I felt a horrible tooth pain. It hurt so bad I cried. I called my dentist, who let me come in as an emergency. He gave me a root canal then and there.	1	1
b5744737-3ac9-4cf4-a3fd-054a1e6956b2	Walter realized he'd accidentally been pulling up her flowers!	Walter continued to pull up the stray plants.	1	Walter decided he should do something to help his mother. He decided he would weed the landscaping in the front yard. He worked very hard to pull up all the stray plants he could find. But when his mother came outside, she was not happy!	2	2
a0342429-43a0-46e2-b3ca-2166bd1be7bf	She hated it.	She loved it.	2	My aunt is a huge marine life lover. She constantly watches documentaries. My uncle decided to surprise her for her birthday. He took her whale watching.	2	2
01df4eef-791e-44b3-989b-2465df6a5f6b	Rory got very sick and vomited all over the sidewalk.	Rory went to a restaurant and ate a huge meal.	1	Rory loved to eat chocolate. One day, she went to the candy store. She spent all of her allowance on chocolate bars. Rory ate all of the chocolate on the way home.	2	1
45ff55e6-4e35-4dbb-8b58-db56dfb68db1	Thomas was grateful his friends were so loyal.	Thomas became friends with the smaller kid.	2	Thomas would pick on smaller kids at recess with his friends. He did this to try to be cool and fit in with his friends. One day, Thomas hurt himself badly on the playground. His friends left him, but one of the smaller kids helped patch him up.	2	2
410bbdbd-300d-44e1-b107-733b453ccf33	Afterward the floor was sparkling and Mary was furious about it.	After an hour the floor was gleaming and Mary was very pleased.	2	Mary decided to clean her kitchen. The floor was filthy! She sent her kids outside to play. Then she got on her knees and scrubbed the whole floor.	1	2
8b867eaa-b5c7-424a-8966-92620678453d	The mother put them up for adoption.	Their mom could still tell them apart, though.	2	Amy and Abby were identical twins. When they were 8, they decided to play a trick on their mom. They started responding to each other's names. They wore each other's clothes.	2	2
cbde08c3-c0c2-401f-988d-7d2eb13ab8fa	Gino got the job because of his experience.	Geno struggles for a while but gets the hang of it.	2	Gino has been looking for a job for weeks. One day he sees an ad for a job at a pizza restaurant. Although he doesn't have relevant experience, he applies for the job. The owner decides to hire Gino.	1	1
528b12f8-a694-4880-bdd9-606109270701	James woke up later and felt much better.	James was having a great morning.	1	James woke up and was in a bad mood immediately. He went too fix breakfast and burnt his toast. Then went to get dressed and couldn't find any socks. James decided it was a bad day and he was going back to bed.	1	1
298e28f7-11bc-4006-a979-1a8136466e1b	Janet was content with the result of the match.	Janet won the first place trophy.	1	Janet worked hard to train for her wrestling meet. When she got there her opponent seemed game. They both tried their hardest. It ended in a tie.	2	1
e0bc2ab4-3028-45a2-b1de-6c57960b93f5	The waiter put the order in.	The waiter gave them more time.	2	When the waiter returned to the table the customers looked ready. She asked the woman what she wanted to eat. The woman began to speak and then stopped. She was no longer sure what she wanted.	2	1
424b175d-4754-44f7-8f68-54247d31c444	Jack swallowed the ball.	Jack was shook up.	2	Jack was playing baseball in field near his home. When it was his turn to bat he swung with all his might. He was shocked to see the ball fly past the field. The ball broke the window on his bedroom.	1	1
6642a270-ccde-467b-bd7b-29011690b997	Kenya screamed.	Kenya kissed the man under the mask.	1	Kenya crossed the street in order to walk towards her house. She noticed a strange scarecrow in front of the porch. Since it wasn't moving, she walked past it. However, it jumped as soon as she took her attention away.	2	2
369bf95c-c21c-4301-aaa0-ec59b1f816aa	She called her parents right away to share the good news.	She was so embarrassed she didn't tell anyone.	1	Rebecca always works very late to get all of her work done. She hopes that the company president notices her hard work. Finally it is announced that Rebecca will be promoted. She cries happy tears knowing that her work is recognized.	1	2
58e092ff-517b-4441-a676-7d14c3da6de6	He found a rare plant.	He found diced cucumbers.	1	The cook pushed deep into the jungle. He ignored the biting insects and sweltering heat. He was determined to find the rare ingredient for his dish. He suddenly gasped in surprise!	1	1
30abc49c-1d03-4179-b78b-2ed9810c0bc9	The migraines lessened their intensity.	She was sad her migraines went away.	1	Johnny's girlfriend was sad. Every day she had painful migraines. Eventually it got so bad that Johnny took her to the doctor. They assigned her pills to help her with her migranes.	2	2
d4604356-e7f8-4c35-b6bf-2c2c7615053d	Francine then became more comfortable.	Francine could not find any tips to help her.	1	Francine was preparing for her first time on a airplane. Francine has never been on a airplane before. Francine conducted research to find out what flying was like. Francine got several tips from the research to make her travel easier.	1	2
a2a34230-3be3-4dd3-a76d-90f1300e15e7	His family loved it.	He paid the chef $500 to prepare the meal.	1	Manny wanted to get better at making Italian food. He learned how to make noodles from scratch. He learned how to make different sauces. He put on a big Italian dinner for his family.	2	2
ff076fa5-a71c-49fc-a366-b6f69d9bb64e	I brought the beer home and enjoyed my first legal drink!	I decided not to drink the beer.	1	I woke up on my twenty first birthday excited. I knew that I was going to buy my first beer. I went to the grocery store with my ID. I found a reliable beer and purchased it.	1	2
b1722096-9501-4f16-a4a3-e9ca7a77da54	They all thought sand castles were stupid.	The finished the castle in two hours.	2	The Epps go to the ocean for vacation every year. This time they would participate in a sand castle contest. Each family member worked on a different part. The littlest Epps filled the moat with ocean water.	1	1
53544b69-29eb-42e8-87a1-f0237df2c73d	Shawn hopes the pillow works.	Shawn hope to return the pillow.	1	Shawn's pillow is lumpy and old. Sometimes Shawn can't sleep at night. He goes into town to buy a new pillow. Shawn is very excited to sleep tonight!	2	1
0a2a79f9-d08b-4fd4-b8e7-49e0b6e07f04	Harry laughed and popped the balloon with a dart.	He was happy he decided to go on the balloon ride.	2	Harry was excited to go on a hot air balloon ride. Harry was going with his friend Amanda. Harry and Amanda arrived at the location, and were anxious to get on. Harry was nervous at first, but as they lifted off he was amazed.	2	2
e50751b4-acf2-4751-81c5-5a5888bf8f91	The neighbor ended up just driving her to work himself.	The neighbor had a history of minor kleptomania.	1	Kathy needed to get to work. The ice in the driveway prevented her from moving the car. She tried putting salt, and sand but nothing helped. Finally a neighbor came by to help.	1	2
f3a2b24e-3f37-47b4-98ff-d128cca05564	I was very angry at Jarrett.	Jarrett did not give Tony money.	1	Jarett loaned $200 dollars from me. He told me that he was going to pay me back before the end of the week. The next day, I saw him walking with Tony. He was giving her money.	2	1
db332cc3-4873-409f-89ba-ca07672122d0	Amy made popcorn.	Amy went online to watch it instead.	2	Amy worked nights at a call center. Since she worked at night she recorded her favorite show on her DVR. Amy was anticipating watching the new episode of her show that evening. Amy tried to watch the show, but she forgot to set the DVR to record.	2	2
3e6a0650-c9ca-4b65-8f42-08f262dfbe0c	Starved he order nachos when he reached the bar.	Daniel always felt that dumplings were a good deal.	2	Daniel was leaving his house to meet a good friend for drinks. He decided to stop at a Chinese food shop for dumplings. Daniel ate six spicy dumplings at the shop. He left feeling satisfied and full.	2	2
1d8e3279-66af-402e-bbea-55c150948e0c	My girlfriend was happy that I remembered her birthday.	My girlfriend dumped me for another man.	1	Last week I tried to make my girlfriend a card. It turned out okay but she knew I made her something. I asked what gave it away. Apparently I was still covered in glitter.	1	1
63df9477-2e6b-44f1-9117-f3ca869e2f51	He ended up having a wonderful time with his co-workers.	He had a terrible time at the party.	1	Mustafa had never celebrated christmas as he was a muslim. One day, his boss invited him to a christmas party. Mustafa was unsure at first. Ultimately, he decided to attend the party.	2	1
0f29fff9-862f-4625-bc6f-27c9cacc86c8	Ed's parents grounded him.	Ed's parents were proud.	2	Ed was not doing very well in science class. He knew he had to ace the exam in order to pass. He studied all week before the exam. Then he did his best on the test.	1	2
8ada6bec-d05a-461f-bdf6-2f57a73c4444	Felipe wanted to make grits more often.	Felipe didn't like grits.	1	Felipe had always wanted to try making grits, but hadn't tried. Finally he asked his friend Jasper to help him cook grits one day. They followed each step of the recipe closely. Felipe tried the grits and they were delicious.	1	1
91211aed-0a32-45fb-8d49-4cf3a027ebeb	Olaf took a pinch of salt for the roll recipe.	The bank tellers always sighed but didn't mind Olaf.	2	Olaf pinched every penny for retirement savings. In fact, he literally collected up every piece of change available. He was stingy with tips and purchases. He rolled his coins and deposited them in the bank.	2	1
e7577666-082c-4327-bf2e-282ea059af05	Gina ate some of the mincemeat pie.	Gina ate mincemeat pie every day.	1	Gina went to the bathroom at her grandma's house. On the way she passed the kitchen. On the table was the remains of a mincemeat pie. Gina hadn't had mincemeat pie in 10 Years.	2	1
226e79b4-a12c-40b8-86b9-161b7c66b91a	Taylor was delighted by the news.	So Taylor got a job.	2	Taylor spent several hours per day surfing the web on her smartphone. One day she was notified that her phone's internet was cut off. Taylor called her parents to find out what was going on. They told her they wouldn't be paying for her internet anymore.	2	1
ebd77568-058e-47db-96dc-f1c8db01cd79	When Gina went home she cried to her mom.	When Gina went home she told her mom what a great day she had.	1	Gina was sad. Her first day of high school hadn't turned out as she hoped. She spent most of the day waiting to enroll. She was alone for most of that time, and lunch was lonely too.	2	2
d4bda8ea-e665-449f-be2f-ef8317618625	Michael decided that using calendars wasn't worth it.	Michael was more careful with his calendars in the future.	2	Michael had a calendar full of notes. His calendar contained a special date. One  day he accidentally threw his calendar away. Michael ended up missing his date.	2	2
88d08dc2-59da-4922-9d9b-309d44974a5b	The new accountant wanted to adjust to his surroundings.	The new accountant told the supervisor he was quitting.	1	The new accountant got confused where his desk was. He found his supervisor and asked her where he was to be seated. She walked him to his stationed desk. He sat down and then asked her about the recent assignment.	2	2
7d5dc297-de0f-4b1c-a79a-ddc50b6d6c43	Cary danced around the pole to the music.	Cary was still terrible and everyone made fun of her again.	2	Cary went to a karaoke bar and sang horribly one night. Everyone laughed and made her feel sad. Cary found a vocal coach in her home town. After a few lessons she went back to the karaoke bar.	2	2
41d2699b-417c-405e-b064-ca58faeeecb2	Aya was thrilled!	Aya hated plants.	1	Aya wanted to grow her own flowers. She bought seeds at the garden store. She planted them and watered them. Soon she had little sprouts!	2	1
8004298f-1c6e-4219-9cb4-663348e70f9e	Liza hurried to shore.	Liza gently stroked the shark's fin.	1	Liza was surfing one day. Suddenly while paddling, she felt a sharp sting. She looked down and gaped with shock. A shark and nipped off one of her fingers!	1	2
dde98c28-b82a-4b83-a88b-b57e6ff4e351	They got married and had nothing further to do with me.	They both congratulated me on my marriage.	1	My parents split up. My dad went out of state to work. He met a new girl. they fell in love.	1	1
9fe313a1-5055-4b6e-b50b-a4b668f74dee	We were so angry we sent them away immediately.	We had them start the work the next day.	2	A company came to give a quote on windows. They walked around and measured all the windows. They then sat us down and went over their products. All the options looked great.	2	2
7cbb5d99-bddf-4513-b7d7-bd8cf556bf94	Tom was able to build the boat within one month.	Tom never got the supplies he needed to build the boat.	1	Tom wanted to build a boat. He went to the store to buy the wood. Tom couldn't afford all of the supplies. His father helped Tom buy the other supplies.	2	2
15771d3c-ba5b-4c86-b32b-6c135dd50baf	He barely made it in time.	He decided to go back to work instead.	1	His stomach churned as he raced down the stairs. He knew he must reach the restroom before he became too sick. He leapt down the last steps and flew past a co worker. The restroom was only feet away from him.	1	1
